TCP,EEBO,VID,STC,Status,Author,Name 1,Name 2,Gender (manual),Name 3,Date,Title,Terms,Pages
N16908,,,Evans 21774,Free,"Coxe, Tench, 1755-1824.",Coxe, Tench,male, 1755-1824.,1789,"Observations on the agriculture, manufactures and commerce of the United States. In a letter to a member of Congress. / By a citizen of the United States.",Agriculture -- United States.; United States -- Economic conditions -- To 1865.; United States -- Commerce.,102
N16915,,,Evans 21783,Free,"Dana, James, 1735-1812.",Dana, James,male, 1735-1812.,1789,"The nativity of Christ: discourse delivered in Christ-Church, Wallingford, December 25, 1788; and in the city of New-Haven, on Lord's-Day, January 4, 1789. : To which is subjoined (by particular desire) a prayer after the sermon when delivered at Wallingford. / By James Dana, D.D. Senior Pastor of the First Church in Wallingford. ; [Seven lines from Saint Paul]",Jesus Christ -- Nativity.; Christmas sermons -- 1788.; Prayers.,23
N16932,,,Evans 21804,Free,"Dunlap, William, 1766-1839.; O'Keeffe, John, 1747-1833. Poor soldier.",Dunlap, William,male," 1766-1839.; O'Keeffe, John, 1747-1833. Poor soldier.",1789,"Darby's return. A comic sketch. As performed at the New-York theatre, November, 24, 1789, for the benefit of Mr. Wignell. / Written by William Dunlap.",Plays -- 1789.,16
N16940,,,Evans 21815,Free,"Friend to literature.; Harmon, Martin, 1774-1798.; Griswold, William Adams, 1775-1846.",Friend to literature.; Harmon, Martin, Martin," 1774-1798.; Griswold, William Adams, 1775-1846.",1789,"The fatal effects of seduction. A tragedy. Written for the use of the students of Clio Hall, in Bennington, to be acted on their quarter-day, April 28, 1789. : Founded on the story of an unhappy young lady of Boston. / By a friend to literature.","Clio Hall (Bennington, Vt.).; Seduction -- Drama.; Poems -- 1789.; Plays -- 1789.",21
N16946,,,Evans 21826; Evans 21827,Free,"Fitch, Elijah, 1746-1788.; Stiles, Ezra, 1727-1795, dedicatee.; Fitch, Elijah, 1746-1788. Choice.",Fitch, Elijah,male," 1746-1788.; Stiles, Ezra, 1727-1795, dedicatee.; Fitch, Elijah, 1746-1788. Choice.",1789,"The beauties of religion. A poem. Addressed to youth. In five books. / By Elijah Fitch, A.M. ; [Five lines of quotations]",Religion -- Poetry.; Poems -- 1789.,129
N16978,,,Evans 21881,Free,"Hawkesworth, John, 1715?-1773.; George III, King of Great Britain, 1738-1820, dedicatee.",Hawkesworth, John,male," 1715?-1773.; George III, King of Great Britain, 1738-1820, dedicatee.",1789,Almoran and Hamet. An Oriental tale. : In two volumes. Vol. I[-II].,,200
N16979,,,Evans 21882,Free,"Hazard, Joseph, 1757-1817.",Hazard, Joseph,male, 1757-1817.,1789,"Juvenile poems, on a diversity of subjects. By Joseph Hazard.",Poems -- 1789.,46
N16981,,,Evans 21885,Free,"Hervey, James, 1714-1758.; Browne, Moses, 1704-1787.; Duick, John.; Gibbons, Thomas, 1720-1785.; Molesworth, Saint George.; Whalley, Peter, 1722-1791.; R. T., dedicatee.; Orchard, Paul, dedicatee.",Hervey, James,male," 1714-1758.; Browne, Moses, 1704-1787.; Duick, John.; Gibbons, Thomas, 1720-1785.; Molesworth, Saint George.; Whalley, Peter, 1722-1791.; R. T., dedicatee.; Orchard, Paul, dedicatee.",1789,"Meditations and contemplations. In two volumes. / By James Hervey, A.M. late Rector of Weston Favel, in England. ; [Two lines from Psalms] ; Vol. I[-II].",Devotional literature.; Poems -- 1789.,367
N16983,,,Evans 21887,Free,"Hillhouse, William, 1757-1833.",Hillhouse, William,male, 1757-1833.,1789,"A dissertation, in answer to a late lecture on the political state of America, read in New-Haven, January 12th, 1789, during the adjourned sessions of the Honorable legislature. : To which is added, a short poem spoken at the same time. / By William Hillhouse, Jun. Esq. attorney at law.",United States -- Politics and government -- 1783-1789.; Poems -- 1789.,23
N16987,,,Evans 21892,Free,"Hopkinson, Francis, 1737-1791.",Hopkinson, Francis, Francis, 1737-1791.,1789,"An oration, which might have been delivered to the students in anatomy, on the late rupture between the two schools in this city.","Foulke, John, 1757-1796.; Shippen, William, 1736-1808.; University of Pennsylvania. -- Dept. of Medicine.; College, Academy, and Charitable Schools of Philadelphia. -- Medical School.; Body snatching -- Poetry.; Human anatomy -- Study and teaching -- Poetry.; Poems -- 1789.; Satires.",19
N16990,,,Evans 21898,Free,"Huntington, David, 1745-1812.",Huntington, David,male, 1745-1812.,1789,"Infant baptism vindicated, by explaining the covenant of grace; and proving that it is a divine institution, under the Gospel dispensation. / By the apologist. ; [Three lines from II Samuel]","Huntington, David, 1745-1812. -- Conferences on baptism, betwen a querist and an apologist.; Niles, Sands. -- Some short remarks upon a late anonymous writer on baptism.; Baptism.; Infant baptism.; Grace (Theology).",23
N17010,,,Evans 21924,Free,"Pelham, M., 1755-1836.",Pelham, M., M., 1755-1836.,1789,"Little stories for little folks, in easy lessons of one, two, and three syllables.",Juvenile literature -- 1789.; Booksellers' advertisements -- Massachusetts -- Boston.,35
N17012,,,Evans 21926,Free,"Low, Samuel, b. 1765.",Low, Samuel,male, b. 1765.,1789,"The politician out-witted, a comedy, in five acts. : Written in the year 1788. / By an American. ; [Two lines from Falconer's Shipwreck]",United States -- Politics and government -- 1789-1809 -- Drama.; United States -- Politics and government -- 1789-1809 -- Anecdotes; Plays -- 1789.; Satires.,72
N17016,,,Evans 21931,Free,"Marrant, John, 1755-1791.; Freemasons. African Lodge no. 459 (Boston, Mass.).",Marrant, John,male," 1755-1791.; Freemasons. African Lodge no. 459 (Boston, Mass.).",1789,"A sermon preached on the 24th day of June 1789, being the festival of St. John the Baptist, at the request of the Right Worshipful the Grand Master Prince Hall, and the rest of the brethren of the African Lodge of the Honorable Society of Free and Accepted Masons in Boston. / By the Reverend Brother Marrant, Chaplain. ; [Two lines from Job]",Freemasons.; Sermons -- 1789.,24
N17039,,,Evans 21967,Free,"Vance, Thomas.",Vance, Thomas., Thomas.,,1789,The modes of Presbyterian church-worship vindicated: in a letter to the blacksmith. / By a Presbyter of Ireland.,Church of Scotland.; Letter from a blacksmith.; Presbyterianism.,54
N17047,,,Evans 21976,Free,"Morhouse, Abraham, d. 1813.",Morhouse, Abraham,male, d. 1813.,1789,"The first trial of A. Morhouse, for forgery. Written by himself.",Trials (Forgery) -- New York (State) -- New York; Poems -- 1789.,24
N17086,,,Evans 22043,Free,"Brown, William Hill, 1765-1793.",Brown, William Hill, William Hill, 1765-1793.,1789,"Occurences of the times. Or, The transactions of four days. (Viz.--from Friday the 16th, to Monday the 19th January, 1789. A farce. In two acts. : [Six lines of verse]","Apthorpe, Frances Theodora, 1766-1788 -- Caricatures and cartoons.; Morton, Perez, 1751-1837 -- Caricatures and cartoons.; Morton, Sarah Wentworth, 1759-1846 -- Caricatures and cartoons.; Plays -- 1789.; Satires.",23
N17089,,,Evans 22046,Free,"Smith, William, 1754-1821.",Smith, William,male, 1754-1821.,1789,"Consolation from Homar, an hermit of the East. To which is added a soliloquy, by the Rev. William Smith, A.M. Rector of St. Paul's Church, Narragansett, Rhode-Island State.",Meditations.,69
N17109,,,Evans 22080,Free,,,,,,1789,"The Present state of America, &c.",United States -- Religion -- Poetry.; Poems -- 1789.,9
N17114,,,Evans 22088,Free,"Ramsay, David, 1749-1815.",Ramsay, David,male, 1749-1815.,1789,A dissertation on the manner of acquiring the character and privileges of a citizen of the United States.,Citizenship -- United States.; United States -- Politics and government -- 1783-1789.,8
N17120,,,Evans 22100,Free,,,,,,1789,A Rhapsody. A poem.,Poems -- 1789.,20
N17137,,,Evans 22118,Free,"Robbins, Ammi Ruhamah, 1740-1813.; Connecticut. General Assembly.",Robbins, Ammi Ruhamah, Ammi Ruhamah, 1740-1813.; Connecticut. General Assembly.,1789,"The empires and dominions of this world, made subservient to the kingdom of Christ; who ruleth over all. A sermon, delivered in presence of His Excellency Samuel Huntington, Esq. L.L.D. governor, and the Honorable the General Assembly of the state of Connecticut, convened at Hartford, on the day of the anniversary election. May 14th, 1789. / By Ammi R. Robbins, A.M. Pastor of the church in Norfolk. ; [Four lines from Daniel]",Election sermons -- Connecticut -- 1789.,37
N17140,,,Evans 22123,Free,"Rush, Benjamin, 1746-1813.; Redman, John, 1722-1808, dedicatee.; Rush, Benjamin, 1746-1813. Appendix: containing, the new method of inoculating for the small pox.",Rush, Benjamin,male," 1746-1813.; Redman, John, 1722-1808, dedicatee.; Rush, Benjamin, 1746-1813. Appendix: containing, the new method of inoculating for the small pox.",1789,"Medical inquiries and observations. By Benjamin Rush, M.D. professor of chemistry in the University of Pennsylvania.; Medical inquiries and observations. Volume 1",Medicine.; Smallpox -- Vaccination,242
N17153,,,Evans 22137,Free,"Seward, Anna, 1742-1809.",Seward, Anna, Anna, 1742-1809.,1789,"Louisa, a poetical novel, in four epistles. / By Miss Seward.",Booksellers' advertisements -- Connecticut -- New Haven.; Poems -- 1789.,90
N17220,,,Evans 22235,Free,"Wall, Rachel, 1760-1789.",Wall, Rachel, Rachel, 1760-1789.,1789,"Life, last words and dying confession, of Rachel Wall, who, with William Smith and William Dunogan, were executed at Boston, on Thursday, October 8, 1789, for high-way robbery.",Brigands and robbers -- Massachusetts -- Boston.; Criminals -- Massachusetts -- Boston.; Executions and executioners -- Massachusetts -- Boston.; Robbery -- Massachusetts -- Boston.; Female offenders -- Massachusetts -- Boston.; Crime -- Massachusetts -- Boston.; Broadsides.,2
N17226,,,Evans 22242,Free,Warren Association (R.I.).,Warren Association (R.I.).,,,,1789,"Circular letter, from the Warren Baptist Association, held at Sturbridge, Massachusetts state, September 8th and 9th, 1789, addressed by their committee to the churches in connection, and sent with their minutes to the corresponding associations.","Baptists -- Clergy -- Salaries, pensions, etc.; Baptists -- United States.; Baptist associations.",9
N17255,,,Evans 22275,Free,"West, Samuel, 1738-1808.; Belknap, Jeremy, 1744-1798.; Eckley, Joseph, 1750-1811.; Hollis Street Church (Boston, Mass.).",West, Samuel,male," 1738-1808.; Belknap, Jeremy, 1744-1798.; Eckley, Joseph, 1750-1811.; Hollis Street Church (Boston, Mass.).",1789,"A sermon, delivered at Boston, March 12th, 1789, by the Rev. Samuel West, at his instalment to the pastoral care of the church and society in Hollis Street. ; To which are added, the charge, given on that occasion, by the Rev. Jeremy Belknap. And the right hand of fellowship, by the Rev. Joseph Eckley.","West, Samuel, 1738-1808.; Ordination sermons -- 1789.",31
N17266,,,Evans 22295,Free,"Workman, Benjamin.",Workman, Benjamin., Benjamin.,,1789,"The Virginia almanack, for the year of our Lord, 1790. ... Calculated to the meridian of Richmond, and will answer any part of Virginia or North-Carolina. ... / By Benjamin Workman, M.A.",Almanacs -- Virginia -- 1790.; Advertisements -- Jewelry.,49
N17281,,,Evans 22322,Free,"Backus, Isaac, 1724-1806.",Backus, Isaac,male, 1724-1806.,1790,"The liberal support of Gospel ministers, opened and inculcated. By Isaac Backus, Pastor of a church in Middleborough. ; [One line from I Timothy]",Clergy.,37
N17286,,,Evans 22331,Free,"Baxter, Richard, 1615-1691.; Wesley, John, 1703-1791, ed.",Baxter, Richard,male," 1615-1691.; Wesley, John, 1703-1791, ed.",1790,"The saints everlasting rest: or, A treatise of the blessed state of the saints in their enjoyment of God in glory: extracted from the works of Mr. Richard Baxter, by John Wesley, M.A. late fellow of Lincoln College, Oxford.; Saints everlasting rest",Future life.; Saints.,400
N17289,,,Evans 22335,Free,"Belknap, Jeremy, 1744-1798.",Belknap, Jeremy,male, 1744-1798.,1790,"The subscriber, being engaged in continuing the History of New Hampshire, and intending to give a topographical description of the country, and a particular account of every occurrence, which may deserve the publick notice, takes this method of applying to the ministers and other gentlemen of note, in the state, and begs the favour of them to collect and transmit to him, such information as can be obtained on the following heads. ...","Belknap, Jeremy, 1744-1798. -- History of New-Hampshire.; New Hampshire -- History.; Broadsides.",2
N17290,,,Evans 22336; Shipton 46002,Free,"Belknap, Jeremy, 1744-1798.",Belknap, Jeremy,male, 1744-1798.,1790,"Proposal, for printing by subscription, the second and third volumes of the History of New-Hampshire. By Jeremy Belknap, A.M.","Belknap, Jeremy, 1744-1798. -- History of New-Hampshire.; Publishers and publishing -- Massachusetts -- Boston.; Broadsides.; Prospectuses.; Blank forms.",2
N17296,,,Evans 22342,Free,"Bentley, William, 1759-1819.",Bentley, William,male, 1759-1819.,1790,"A sermon, preached at the Stone Chapel in Boston, September 12, 1790. By William Bentley, A.M. Pastor of the Second Congregational Church in Salem. ; Published at the request of the hearers.",Christianity.; Salvation.; Sermons -- 1790.,23
N17311,,,Evans 22361,Free,"Biddle, Owen, 1737-1799.",Biddle, Owen, Owen, 1737-1799.,1790,"A plan for a school on an establishment similar to that at Ackworth, in Yorkshire, Great-Britain, varied to suit the circumstances of the youth within limits of the Yearly-Meeting for Pennsylvania and New-Jersey: introduced with the sense of Friends in New-England, on the subject of education; and an account of some schools in Great-Britain: : to which is added, observations and remarks, intended for the consideration of Friends.",Philadelphia Yearly Meeting of the Religious Society of Friends.; Ackworth School (Yorkshire); Society of Friends -- Education; Education -- United States; Education -- Great Britain,52
N17317,,,Evans 22368,Free,"Bordley, J. B. (John Beale), 1727-1804.; Bordley, J. B. (John Beale), 1727-1804. On monies, coins, weights, and measures, proposed for the United States of America.",Bordley,J. B. (John Beale),male," 1727-1804.; Bordley, J. B. (John Beale), 1727-1804. On monies, coins, weights, and measures, proposed for the United States of America.",1790,"A supplement to the essay On monies, coins, &c. proposed for the United States of America.",Money -- United States.; Weights and measures -- United States.; Coinage -- United States.,10
N17321,,,Evans 22373,Free,"Brown, John, 1735-1788.; Lynch, Samuel.; Brown, John, 1735-1788. Elementa medicinae Brunonis.",Brown, John,male," 1735-1788.; Lynch, Samuel.; Brown, John, 1735-1788. Elementa medicinae Brunonis.",1790,"The elements of medicine; or, A translation of the Elementa medicinae Brunonis. With large notes, illustrations, and comments. / By the author of the original work.",Medicine.,413
N17323,,,Evans 22377,Free,"Buckner, Samuel.; Hutchinson, William, 1715-1801. Treatise on practical seamanship.",Buckner, Samuel.; Hutchinson, Samuel.; Hutchinson," William, 1715-1801. Treatise on practical seamanship.",1790,"The American sailor: a treatise on practical seamanship, with hints and remarks relating thereto. Designed to contribute towards making navigation in general more perfect, and of consequence, less destructive to health, lives and property. / By Samuel Buckner.",Navigation.; Seamanship.,98
N17326,,,Evans 22380,Free,"Burges, Bartholomew.; Lamb, John, 1735-1800, dedicatee.; Rollinson, William, 1762-1842, engraver.; Shepherd, Edward, ill.; Clepham, ill.",Burges, Bartholomew.; Lamb, Bartholomew.; Lamb," John, 1735-1800, dedicatee.; Rollinson, William, 1762-1842, engraver.; Shepherd, Edward, ill.; Clepham, ill.",1790,"A series of Indostan letters By Barw. Burges ; containing a striking account of the manners & customs of the Gentoo nations & of the Moguls & other Mahomedan tribes in Indostan ; with other polemical East India tracts both amusing, interesting, & perfectly original.",East India Company of North America.; India -- Description and travel; Travel literature.; Subscribers' lists.,191
N17331,,,Evans 22387,Free,"Campbell, George, 1719-1796.; Bute, John Stuart, Earl of, 1713-1792, dedicatee.",Campbell, George,male," 1719-1796.; Bute, John Stuart, Earl of, 1713-1792, dedicatee.",1790,"A dissertation on miracles: containing an examination of the principles advanced by David Hume, Esq.; in An essay on miracles. / By George Campbell, D.D. Principal of the Marischal Collge, and one of the ministers, of Aberdeen. ; [Two lines from John]","Hume, David, 1711-1776. -- Essay on miracles.; Miracles.; Prospectuses.; Booksellers' advertisements -- Pennsylvania -- Philadelphia.",186
N17334,,,Evans 22390,Free,"Rush, Benjamin, 1746-1813.",Rush, Benjamin,male, 1746-1813.,1790,"Information to Europeans who are disposed to migrate to the United States. In a letter from a citizen of Pennsylvania, to his friend in Great Britain.",United States -- Emigration and immigration.; United States -- Economic conditions -- To 1865.,16
N17339,,,Evans 22398,Free,"Chamberlain, Thomas, 1693?-1748.",Chamberlain, Thomas,male, 1693?-1748.,1790,"The minister preaching his own funeral sermon: being a warning from heaven to all vile sinners on earth. With a particular relation of many wonderful things seen by the Rev. Thomas Chamberlain, in a vision just before his decease, the precise time of which was shewn unto him.; England's timely remembrancer.",Visions.; Apparitions.; Booksellers' advertisements -- Massachusetts -- Boston.,17
N17341,,,Evans 22400,Free,,,,,,1790,"The Charmer; being a select collection of English, Scots' and American songs, including the modern: : with a selection of favourite toasts and sentiments.",Toasts.; Songsters.; Poems -- 1790.,125
N17360,,,Evans 22434,Free,"Crawford, Charles, b. 1752.",Crawford, Charles,male, b. 1752.,1790,"Observations upon Negro-slavery. [Eight lines of Scripture texts] / By Charles Crawford, Esq.",Slave-trade.; Slavery.,125
N17364,,,Evans 22441,Free,"Mountain, Joseph, 1758-1790.; Daggett, David, 1764-1851.",Mountain, Joseph,male," 1758-1790.; Daggett, David, 1764-1851.",1790,"Sketches of the life of Joseph Mountain, a Negro, who was executed at New-Haven, on the 20th day of October, 1790, for a rape, committed on the 26th day of May last. : (The writer of this history has directed that the money arising from the sales thereof, after deducting the expence of printing, &c. be given to the unhappy girl, whose life is rendered wretched by the crime of the malefactor.)","Mountain, Joseph, 1758-1790.; Rape -- Connecticut.; African American criminals.; Executions and executioners -- Connecticut -- New Haven.",20
N17366,,,Evans 22446,Free,"Dana, James, 1735-1812.",Dana, James,male, 1735-1812.,1790,"The intent of capital punishment. A discourse delivered in the city of New-Haven, October 20, 1790. Being the day of the execution of Joseph Mountain, for a rape. / By James Dana, D.D. Pastor of the First Church in said city.","Mountain, Joseph, 1758-1790.; Capital punishment.; Rape -- Connecticut.; Executions and executioners -- Connecticut -- New Haven.; Crime -- Connecticut -- New Haven.; African American criminals.; Criminals -- Connecticut -- New Haven.; Execution sermons -- 1790.",27
N17383,,,Evans 22469,Free,"Dodsley, Robert, 1703-1764.; Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773.; Hill, John, 1714?-1775.",Dodsley, Robert,male," 1703-1764.; Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773.; Hill, John, 1714?-1775.",1790,"The oeconomy of human life, complete, in two parts: / translated from an Indian manuscript, written by an ancient Bramin. ; To which is prefixed, an account of the manner in which the said manuscript was discovered; in a letter from an English gentleman residing in China, to the Earl of *******.","Conduct of life.; Maxims.; Booksellers' advertisements -- New York (N.Y.).; Advertisements -- Medicines, Patent, proprietary, etc.",84
N17392,,,Evans 22478,Free,"Edwards, Jonathan, 1745-1801.",Edwards, Jonathan,male, 1745-1801.,1790,"The salvation of all men strictly examined; and the endless punishment of those who die impenitent, argued and defended against the objections and reasonings of the late Rev. Doctor Chauncy, of Boston, in his book entitled ""The salvation of all men,"" &c. / By Jonathan Edwards, D.D. Pastor of a church in New Haven. ; [Two lines of Scripture texts]","Chauncy, Charles, 1705-1787. -- Salvation for all men ...; Salvation.; Universalism.; Future life.; Future punishment.; Subscribers' lists.; Advertisements -- Printing.; Advertisements -- Bookbinding.",342
N17411,,,Evans 22505,Free,"Foster, Dan, 1748-1810.; Vermont. General Assembly.",Foster, Dan, Dan, 1748-1810.; Vermont. General Assembly.,1790,"An election sermon; delivered before the Honorable Legislature of the state of Vermont; convened at Westminster, October 8th, 1789. / By Dan Foster, A.M.",Vermont -- Politics and government -- To 1791.; Election sermons -- Vermont -- 1789.,25
N17412,,,Evans 22506,Free,"Foster, Daniel, 1750?-1795.; Massachusetts. General Court.",Foster, Daniel,male, 1750?-1795.; Massachusetts. General Court.,1790,"A sermon preached before His Excellency John Hancock, Esq. governour; His Honor Samuel Adams, Esq. lieutenant-governour; the Honourable the Council, Senate, and House of Representatives, of the Commonwealth of Massachusetts, May 26, 1790. Being the day of general election, / by Daniel Foster, A.M. Pastor of the church in New-Braintree.",Election sermons -- Massachusetts -- 1790.,35
N17427,,,Evans 22541,Free,"Gray, Edward, 1764-1810.",Gray, Edward,male, 1764-1810.,1790,"An oration, delivered July 5, 1790. At the request of the inhabitants of the town of Boston, in celebration of the anniversary of American independence. / By Edward Gray, Esq. ; [Two lines from Cicero's Pro lege Manilia]",Fourth of July orations -- 1790.,16
N17433,,,Evans 22548,Free,"Hale, Matthew, Sir, 1609-1676.",Hale, Matthew, Matthew," Sir, 1609-1676.",1790,Sir Matthew Hale's affectionate epistles to his children. With directions concerning the religious observation of the Lord's Day. : To which is prefixed the life of the author.,Conduct of life.,97
N17434,,,Evans 22549,Free,"Hall, Aaron, 1751-1814.",Hall, Aaron, Aaron, 1751-1814.,1790,"A sermon, against profane swearing; delivered at Keene, on Lord's Day, October 17, 1790, and published at the request of a number of the hearers. / By Aaron Hall. A.M. Pastor of the church in Keene. ; [Five lines of Scripture texts]",Swearing.; Blasphemy.; Sermons -- 1790.,21
N17435,,,Evans 22551,Free,"Hamilton, Alexander, 1739-1802.",Hamilton, Alexander,male, 1739-1802.,1790,"Outlines of the theory and practice of midwifery. By Alexander Hamilton, M.D. F.R.S. Edin. Professor of midwifery in the university, and member of the Royal College of Surgeons, Edinburgh. ; [One line in Latin]",Obstetrics.,308
N17436,,,Evans 22555,Free,"Harris, R. (Raymund).",Harris, R. (Raymund)., R. (Raymund).,,1790,"Scriptural researches on the licitness of the slave-trade, shewing its conformity with the principles of natural and revealed religion, delineated in the sacred writings of the word of God, / by the Rev. R. Harris. ; [Two lines from John]",Slavery -- Justification.; Slavery in the Bible.; Slave-trade.,77
N17443,,,Evans 22563,Free,"Gentleman of the faculty.; Hayes, Thomas, fl. 1783-1786.",Gentleman of the faculty.; Hayes, Thomas,male, fl. 1783-1786.,1790,"Concise observations on the nature of our common food, so far as it tends to promote or injure health; with remarks on water, bread, meat, cheese, butter, milk, wine, punch, beer, coffee, tea, sugar, &c. &c. : To which are prefixed, general rules for a course of diet. / By a gentleman of the faculty. ; [One line in Latin from Cicero]",Nutrition.; Diet.; Advertisements.; Booksellers' catalogues -- New York (N.Y.).,48
N17447,,,Evans 22570,Free,"Hitchcock, Enos, 1745-1803.; Washington, Martha, 1731-1802, dedicatee.",Hitchcock, Enos, Enos," 1745-1803.; Washington, Martha, 1731-1802, dedicatee.",1790,"Memoirs of the Bloomsgrove family. In a series of letters to a respectable citizen of Philadelphia. Containing sentiments on a mode of domestic education, suited to the present state of society, government, and manners, in the United States of America: and on the dignity and importance of the female character. : Interspersed with a variety of interesting anecdotes. / By Enos Hitchcock, D.D. ; Vol. I[-II].",Memoirs.,598
N17452,,,Evans 22576,Free,"Homer, Jonathan, 1759-1843.; Ancient and Honorable Artillery Company of Massachusetts.",Homer, Jonathan,male, 1759-1843.; Ancient and Honorable Artillery Company of Massachusetts.,1790,"The character and duties of a Christian soldier, considered and applied in a sermon, preached before the Ancient and Honorable Company of Artillery, on Monday, June 7, 1790; being the anniversary of the election of officers. / By Jonathan Homer, A.M. Pastor of the First Church in Newton.",Soldiers -- Conduct of life.; Artillery election sermons -- 1790.,21
N17453,,,Evans 22578,Free,"Humphreys, David, 1752-1818.; Trumbull, John, 1750-1831.; Dwight, Timothy, 1752-1817.",Humphreys, David,male," 1752-1818.; Trumbull, John, 1750-1831.; Dwight, Timothy, 1752-1817.",1790,The miscellaneous works of Colonel Humphreys.,Poems -- 1790.,348
N17473,,,Evans 22609,Free,"Lavater, Johann Caspar, 1741-1801.; Fuseli, Henry, 1741-1825, tr.; Fuseli, Henry, 1741-1825, dedicatee.; Tiebout, Cornelius, 1773?-1832, engraver.",Lavater, Johann Caspar, Johann Caspar," 1741-1801.; Fuseli, Henry, 1741-1825, tr.; Fuseli, Henry, 1741-1825, dedicatee.; Tiebout, Cornelius, 1773?-1832, engraver.",1790,"Aphorisms on man. Translated from the original manuscript of the Rev. John Caspar Lavater, citizen of Zuric. ; [One line from Juvenal]; Vermischte unphysiognomische Regeln. English",Aphorisms and apothegms.; Booksellers' advertisements -- New York (N.Y.).,117
N17495,,,Evans 22638,Free,"Markoe, Peter, 1752?-1792.; Mifflin, Thomas, 1744-1800, dedicatee.; McKean, Thomas, 1734-1817. dedicatee.; Gessner, Salomon, 1730-1788. Erastus.",Markoe, Peter,male," 1752?-1792.; Mifflin, Thomas, 1744-1800, dedicatee.; McKean, Thomas, 1734-1817. dedicatee.; Gessner, Salomon, 1730-1788. Erastus.",1790,"The reconciliation; or The triumph of nature: a comic opera, in two acts. / By Peter Markoe. ; [Three lines of quotations]",Plays -- 1790.,46
N17500,,,Evans 22648,Free,"Mason, Benjamin.",Mason, Benjamin., Benjamin.,,1790,"Light rising out of obscurity. Or, A reply to Francis Herr's pamphlet, intitled, A short explication of the written word of God; likewise, of the Christian baptism, and the peaceable kingdom of Christ, against the people called Quakers. By Benjamin Mason. ; [Two lines from I. Peter]","Herr, Franz. -- Short explication of the written word of God.; Society of Friends -- Doctrinal and controversial works.; Baptism.",45
N17513,,,Evans 22664; Evans 23082,Free,"Meacham, Joseph, 1742-1796.; Whittaker, James, 1751-1787.",Meacham, Joseph,male," 1742-1796.; Whittaker, James, 1751-1787.",1790,"A concise statement of the principles of the only true church, according to the Gospel of the present appearance of Christ. As held to and practiced upon by the true followers of the living Saviour, at Newlebanon, &c. : Together with a letter from James Whittaker, Minister of the Gospel in this day of Christ's second appearing--to his natural relations in England. Dated October 9th, 1785.",Shakers.,25
N17528,,,Evans 22684,Free,"Morton, Sarah Wentworth, 1759-1846.; Bowdoin, James, 1726-1790, dedicatee.; Gullager, Christian, 1759-1826, ill.; Hill, Samuel, 1766?-1804, engraver.",Morton, Sarah Wentworth, Sarah Wentworth," 1759-1846.; Bowdoin, James, 1726-1790, dedicatee.; Gullager, Christian, 1759-1826, ill.; Hill, Samuel, 1766?-1804, engraver.",1790,"Ouâbi: or The virtues of nature. An Indian tale. In four cantos. / By Philenia, a lady of Boston. ; [One line from Spenser]","Merry, Robert, 1755-1798.; Indians of North America -- Poetry; Poems -- 1790.",53
N17530,,,Evans 22686,Free,"Murray, Lindley, 1745-1826.",Murray, Lindley, Lindley, 1745-1826.,1790,"The power of religion on the mind, in retirement, sickness, and at death; exemplified in the testimonies and experience of men distinguished by their greatness, learning, or virtue.",Christian life.; Christian biography.; Theater -- Moral and ethical aspects.,141
N17563,,,Evans 22747,Free,"Ogden, John Cosens, 1751-1800.; New Hampshire. General Court.",Ogden, John Cosens, John Cosens, 1751-1800.; New Hampshire. General Court.,1790,"A sermon, delivered before His Excellency the president, the Honourable Senate, and the Honourable House of Representatives, of the state of New-Hampshire, at the annual election, holden at Concord, on the first Wednesday in June, M.DCC.XC. / By John C. Ogden, A.M. Rector of Queen's Chapel in Portsmouth.",Election sermons -- New Hampshire -- 1790.,25
N17568,,,Evans 22756,Free,"Peddle, M., Mrs.; Peddle, M., Mrs. Maxims addressed to young ladies.",Peddle, M., M.," Mrs.; Peddle, M., Mrs. Maxims addressed to young ladies.",1790,"Rudiments of taste. In a series of letters, from a mother to her daughters. : To which are added, Maxims addressed to young ladies, / by the Countess Dowager of Carlisle.",Etiquette for children and teenagers -- Early works to 1800; Youth -- Conduct of life.,145
N17596,,,Evans 22794,Free,College of Physicians of Philadelphia.,College of Physicians of Philadelphia.,,,,1790,"The charter, constitution and bye laws of the College of Physicians of Philadelphia. Instituted in MDCCLXXXVII.","Medicine -- Pennsylvania -- Philadelphia -- Societies, etc.",15
N17603,,,Evans 22805,Free,"Poellnitz, Frederick Carl Hans Bruno, Baron von, 1734-1801.; Carloss, Charlotte Julie Wilhelmine Amalie, b. 1772, ill.; Maverick, Peter, 1780-1831, engraver.",Poellnitz, Frederick Carl Hans Bruno, Frederick Carl Hans Bruno," Baron von, 1734-1801.; Carloss, Charlotte Julie Wilhelmine Amalie, b. 1772, ill.; Maverick, Peter, 1780-1831, engraver.",1790,Essay on agriculture. By F.C.H.B. Poellnitz.,Agriculture.,28
